features 		 score
('com', 0.06124687463333244)
('www', 0.018311240954717214)
('icu', 0.017555332830355878)
('jkreativ', 0.015059132768896779)
('import', 0.014939812386316432)
('04', 0.009957463957335154)
('ru', 0.009659664353735314)
('mail', 0.009129601695987857)
('html', 0.00906258877230838)
('info', 0.009016980395795664)
('email', 0.00887019189622919)
('2019', 0.008698072561976411)
('id', 0.008174979740122115)
('url', 0.007633251628161633)
('matt', 0.007419242309240383)
('api', 0.0073888827664501154)
('org', 0.007315743170175394)
('cnw3ej2kfcj', 0.007095864643470594)
('jegtheme', 0.007050367416544745)
('php', 0.006880420100004147)
('live', 0.006869752943968673)
('tracking', 0.006807836378991875)
('quiq', 0.006736466811606327)
('ag1yu1lsivdv46z', 0.006644450022365561)
('subject', 0.0066249542179271596)
('track', 0.006015593894092772)
('form', 0.006012932901381086)
('anlagenummer', 0.0058093200080957036)
('betreff', 0.0058093200080957036)
('05', 0.005716322480725453)
('click', 0.005710336064432732)
('io', 0.005602407387910966)
('utm_source', 0.005530790139073766)
('message', 0.005436502485084076)
('enroluser_email', 0.005321522145097921)
('enroluser_fullname', 0.005321522145097921)
('zeit', 0.00529401997145462)
('status', 0.0050977192317485515)
('comments', 0.005084360073578538)
('spam', 0.005057012245795524)
('tryourl1feagain', 0.004981122723894455)
('utm_medium', 0.004910435779030212)
('nclinedmimfd15', 0.004890147651376639)
('body', 0.004832098925677139)
('adresse', 0.004784336500609003)
('netflix', 0.0047839151379534635)
('eth', 0.004737757113063115)
('supervisor', 0.004732767213438742)
('buff', 0.0047168459529331516)
('learning', 0.004664361850463654)
