features 		 score
('4girlsdating', 0.18861956390844464)
('su', 0.17478075881815044)
('fuckbuddy', 0.09156640508664482)
('hookup', 0.076322272441763)
('username', 0.0625361625637006)
('pics', 0.06190654463367016)
('s16', 0.057569085826473715)
('missed', 0.05726905735757669)
('pictures', 0.048582776989869715)
('want', 0.048533918323962165)
('hope', 0.048041531568908356)
('fuck', 0.045423720571295415)
('hi', 0.04069730626797261)
('s17', 0.039686370957678296)
('bed', 0.03928901250045792)
('looking', 0.038922752678065706)
('luv', 0.03665247599616606)
('pussy', 0.03431811655293103)
('pending', 0.033502366920572214)
('need', 0.03314846218006856)
('good', 0.03302337845105365)
('profiie', 0.03209646553550236)
('hard', 0.03202030767012081)
('photos', 0.03179066612141586)
('waiting', 0.03175585352967193)
('request', 0.03150022888015847)
('come', 0.03143547802266468)
('cock', 0.031038797886022016)
('hook', 0.029807111454560893)
('tonight', 0.029171550734774513)
('hey', 0.027828044810097104)
('check', 0.0275747573486527)
('hangout', 0.027487389497435216)
('just', 0.02726594030454301)
('really', 0.026941741636275093)
('head', 0.026475596860759072)
('190326', 0.02610038597947002)
('directupload', 0.02610038597947002)
('took', 0.02462705157659682)
('horny', 0.023023903975174714)
('tight', 0.022333657979615933)
('bf', 0.02163118158695689)
('hot', 0.02123641558597651)
('desperate', 0.020837002733242696)
('right', 0.02054890728725305)
('tits', 0.02019460442369456)
('sex', 0.019924303889070998)
('thinking', 0.01972575744078076)
('seifies', 0.01972147811678591)
('strings', 0.01932930129429625)
