features 		 score
('3d', 0.0713957041069137)
('bid', 0.05322511868559407)
('upn', 0.042014660207481784)
('wf', 0.04196436114405238)
('com', 0.038229246449563443)
('email', 0.033762979036000194)
('agra', 0.03175861282355459)
('low', 0.029091487240602825)
('click', 0.027295959357280183)
('price', 0.025365643533820523)
('alis', 0.018093401605884053)
('regrowingthei', 0.018045054824803702)
('rs6', 0.01772635438858946)
('r20', 0.01751923768071558)
('a0', 0.017114283268570174)
('john', 0.01695341041030202)
('jsp', 0.01680427866814644)
('net', 0.01648985462747105)
('ch', 0.016468443891526813)
('sendgrid', 0.01620417590562657)
('kindly', 0.014900099901170494)
('e2ma', 0.01470145133490845)
('ct', 0.013916131144227841)
('tn', 0.0133902021370085)
('starofservice', 0.013331745062946591)
('transaction', 0.01321959818946521)
('bond', 0.012401388431750114)
('vc8hsvqnror5snvds', 0.012284165918724263)
('001lawyd636mcmwgpvieujfp0qgkuz5o', 0.012284165918724263)
('jpmiy7ozmf4uynztqvs9go7aqnlwk4dml0tgswhvvq8nqngte2khxa', 0.012284165918724263)
('jlfraa8lcs0nxgebmtkacx3ntitxgywrnkcw', 0.012284165918724263)
('sonic010', 0.011827181917806847)
('v1agra', 0.011818814994611342)
('links', 0.011350532399419503)
('mgemail', 0.010523816903138382)
('cn', 0.010497979054370906)
('flyawaysim', 0.01048631608887174)
('visa', 0.010439673739484262)
('mastercard', 0.010368149634283829)
('fleming', 0.010355977835871869)
('details', 0.010298376366160175)
('paste', 0.010108281875927801)
('business', 0.010054285043456334)
('idxhome', 0.009526789695355805)
('2f1njzcsalc7wsq', 0.00924000116670662)
('site', 0.009118625068996784)
('professional', 0.008992905865071843)
('safe', 0.008963148448504824)
('demo', 0.008539384552364937)
('copy', 0.008523752639596075)
