features 		 score
('angelahot', 0.2671429846270454)
('info', 0.2426471570453552)
('su', 0.13421992242000344)
('photo', 0.1190152945315497)
('werkzeugset', 0.08675922681418168)
('posts', 0.08576920182458546)
('uploads', 0.08393976581052871)
('ryeittransport', 0.08024071174537036)
('408', 0.07784428295802431)
('sareisguvenligi', 0.075924400613628)
('girls', 0.06992446103009166)
('24', 0.06904626178420076)
('2018', 0.0658992683590045)
('tlg', 0.06306201519830858)
('gartenschlauch', 0.06083736636788457)
('splaanb', 0.0547695730667714)
('werkzeuge', 0.0483114598278682)
('60', 0.04646214207763509)
('jpg', 0.045661220057084596)
('devushki', 0.04458310298736688)
('sex', 0.04327468372063694)
('400', 0.03673171670818996)
('werkzeug', 0.033412963547046884)
('rabatt', 0.03286596046217006)
('s1ra', 0.032539028834411995)
('php', 0.03241757102320863)
('np', 0.03105536831786187)
('über', 0.029080034716658914)
('twimg', 0.027182831024389845)
('pbs', 0.027182831024389845)
('11', 0.02484915853449733)
('langer', 0.023551073545477537)
('koffer', 0.02314481521183594)
('60m', 0.022093948725817863)
('im', 0.021762331954517666)
('schlauch', 0.021658788423436125)
('alles', 0.02141844615469681)
('rep', 0.021002634509083965)
('want', 0.02054120074103923)
('h7', 0.020137984280973187)
('fuck', 0.01957916704425155)
('a3', 0.018505043113278125)
('lang', 0.018228494970723645)
('krasivoy', 0.01759824113898478)
('grudyu', 0.01759824113898478)
('media', 0.016973053766121397)
('wagenwäsche', 0.016596299504214984)
('neujahr', 0.016575952513048862)
('snapchatu', 0.016340046443993998)
('nah', 0.016340046443993998)
